covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),comorbidity_outcome
sleep_apnea,0.031618790182933156,1.0321239745094697,0.10547750562244992,-0.17511332201618976,0.23835090238205606,0.8393618971970084,1.2691544640216021,0.0,0.2997680879571671,0.7643540586291183,0.38768702690657997,ckd
nafld,-0.029457739128342333,0.9709719108934471,0.08530944659491667,-0.19666118199542215,0.1377457037387375,0.8214689146251123,1.1476836614984083,0.0,-0.3453045389946022,0.7298654346741602,0.4542975961326033,ckd
pvd,-0.058648280355880704,0.9430383959628689,0.15435302235608464,-0.3611746450787124,0.24387808436695096,0.6968572851434505,1.276188733647451,0.0,-0.3799619823483733,0.7039736361532882,0.5064066940121578,ckd
stroke,-0.23313930721327739,0.7920432285036058,0.15713040671343736,-0.5411092452477454,0.0748306308211906,0.5821022000259036,1.0777016059903204,0.0,-1.4837313292166254,0.1378802113543433,2.8585126795839804,ckd
mi,0.05238981277679315,1.05378644187929,0.14515883445156955,-0.23211627478609514,0.3368959003396815,0.7928539290258503,1.400593254867264,0.0,0.360913705147394,0.7181639579354506,0.4776148437402018,ckd
drug_class_num,0.014616901025360163,1.0147242503234548,0.04920728007828531,-0.08182759570525433,0.11106139775597465,0.9214308036310377,1.1174635145004328,0.0,0.2970475304082182,0.7664302218742457,0.383773644345037,heart_failure
age_at_index,-0.0008163183876556736,0.9991840147095554,0.002893603750881216,-0.006487677524912868,0.00485504074960152,0.9935333220176261,1.0048668455564826,0.0,-0.2821113248167005,0.7778581498277443,0.3624210054838575,heart_failure
cci,-0.007872297629729802,0.9921586077532897,0.04235580703600888,-0.09088815395643542,0.07514355869697582,0.9131198340288619,1.0780389016364658,0.0,-0.1858611175331201,0.8525536745654616,0.23013742955785252,heart_failure
hypertension,-0.026047013053927773,0.9742892842173719,0.07829143212777064,-0.17949540032242028,0.12740137421456477,0.8356917948471296,1.1358728363659958,0.0,-0.33269302075633733,0.7393660183639776,0.4356393568319974,heart_failure
obesity,0.016073322443490416,1.016203193175722,0.08371469277199495,-0.14800446036645526,0.18015110525343608,0.8624272681918095,1.1973982826234821,0.0,0.1920012116304083,0.8477412563396945,0.23830409561355353,heart_failure
ckd,-0.014986854542930457,0.985124889434889,0.10666420481139488,-0.22404485441286837,0.19407114532700748,0.7992792823623825,1.214182663306045,0.0,-0.14050500418045977,0.8882609989485382,0.17094444695679617,heart_failure
hyperlipidemia,-0.07648545496823979,0.9263663882193708,0.08031335415427332,-0.23389673658822585,0.08092582665174626,0.7914435388360632,1.0842904681294732,0.0,-0.9523379489458186,0.3409256177684578,1.5524710846177494,heart_failure
neuropathy,0.009686293193801656,1.0097333571674636,0.09547475554831861,-0.1774407891136685,0.19681337550127181,0.8374105816905969,1.2175168010396364,0.0,0.10145397218534423,0.9191900938398375,0.12156484482016694,heart_failure
retinopathy,0.060668330502415185,1.062546441493795,0.11288248277288258,-0.16057727021789778,0.2819139312227281,0.8516520136927409,1.3256646167438635,0.0,0.5374468120485861,0.5909590152137986,0.758870016258038,heart_failure
depression,-0.014476712665238745,0.9856275711043297,0.11164862944200778,-0.2333040052948323,0.2043505799643548,0.7919127912450405,1.2267281443878362,0.0,-0.1296631471213733,0.8968329406967395,0.15708882554525894,heart_failure
